<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
CA,D,30/11/22,030000,8361.059275
CA,D,01/12/22,030000,8369.877795
CA,D,02/12/22,030000,8501.05328
CA,D,04/12/22,030000,8524.201895
CA,D,05/12/22,030000,8440
CA,D,06/12/22,030000,8384.75
CA,D,07/12/22,030000,8485.62087
CA,D,08/12/22,030000,8561.680605
CA,D,09/12/22,030000,8490.5
CA,D,11/12/22,030000,8475.700035
CA,D,12/12/22,030000,8387.514835
CA,D,13/12/22,030000,8481.21161
CA,D,14/12/22,030000,8512.07643
CA,D,15/12/22,030000,8337.91066
CA,D,16/12/22,030000,8309.25047
CA,D,18/12/22,030000,8323.580565
CA,D,19/12/22,030000,8303.25
CA,D,20/12/22,030000,8333.75
CA,D,21/12/22,030000,8369.5
CA,D,22/12/22,030000,8290.5
CA,D,23/12/22,030000,8328
CA,D,26/12/22,030000,8503.25791
CA,D,27/12/22,030000,8488.927815
CA,D,28/12/22,030000,8426
CA,D,29/12/22,030000,8409.5
CA,D,30/12/22,030000,8364.76
CA,D,02/01/23,030000,8465.7792
CA,D,03/01/23,030000,8307
CA,D,04/01/23,030000,8236
CA,D,05/01/23,030000,8361.5
CA,D,06/01/23,030000,8569.9
CA,D,08/01/23,030000,8763.40425
CA,D,09/01/23,030000,8833
CA,D,10/01/23,030000,8890.5
CA,D,11/01/23,030000,9107.5
CA,D,12/01/23,030000,9169.05
CA,D,13/01/23,030000,9168.55
CA,D,15/01/23,030000,9271.571465
CA,D,16/01/23,030000,9088.19
CA,D,17/01/23,030000,9282.99
CA,D,18/01/23,030000,9326
CA,D,19/01/23,030000,9301
CA,D,20/01/23,030000,9307.76
CA,D,22/01/23,030000,9417.077045
CA,D,23/01/23,030000,9330.77
CA,D,24/01/23,030000,9291.01
CA,D,25/01/23,030000,9289.5
CA,D,26/01/23,030000,9306.5
CA,D,27/01/23,030000,9242.24
CA,D,29/01/23,030000,9337.710365
CA,D,30/01/23,030000,9188.35
CA,D,31/01/23,030000,9199.55
CA,D,01/02/23,030000,9078.66634
CA,D,02/02/23,030000,8986
CA,D,03/02/23,030000,8951.25
CA,D,05/02/23,030000,8918.830665
CA,D,06/02/23,030000,8896.784365
CA,D,07/02/23,030000,8893
CA,D,08/02/23,030000,8863.75
CA,D,09/02/23,030000,8952.24
CA,D,10/02/23,030000,8828.76
CA,D,12/02/23,030000,8853.79408
CA,D,13/02/23,030000,8956.309375
CA,D,14/02/23,030000,8921
CA,D,15/02/23,030000,8873.63575
CA,D,16/02/23,030000,8991.5
CA,D,17/02/23,030000,8950.25
CA,D,19/02/23,030000,9083.0756
CA,D,20/02/23,030000,9115.5
CA,D,21/02/23,030000,9183.5
CA,D,22/02/23,030000,9103
CA,D,23/02/23,030000,8884.99
CA,D,24/02/23,030000,8716.004705
CA,D,26/02/23,030000,8757.892675
CA,D,27/02/23,030000,8844.97556
CA,D,28/02/23,030000,8951
CA,D,01/03/23,030000,9084
CA,D,02/03/23,030000,8928.1
CA,D,03/03/23,030000,8991.583455
CA,D,05/03/23,030000,8921.035295
CA,D,06/03/23,030000,8893.25
CA,D,07/03/23,030000,8737.5
CA,D,08/03/23,030000,8886
CA,D,09/03/23,030000,8832.3
CA,D,10/03/23,030000,8847
CA,D,12/03/23,030000,8890.170475
CA,D,13/03/23,030000,8918.25
CA,D,14/03/23,030000,8831.74778
CA,D,15/03/23,030000,8558.37366
CA,D,16/03/23,030000,8508.75
CA,D,17/03/23,030000,8573.25
CA,D,19/03/23,030000,8652.070435
CA,D,20/03/23,030000,8701.25
CA,D,21/03/23,030000,8761
CA,D,22/03/23,030000,8900.5
CA,D,23/03/23,030000,9033
CA,D,24/03/23,030000,8977.25336
CA,D,26/03/23,030000,9000.401975
CA,D,26/03/23,030000,8951.25
CA,D,28/03/23,020000,8968.25
CA,D,29/03/23,020000,8991.583455
CA,D,30/03/23,020000,9003.25
CA,D,31/03/23,020000,9003.5
CA,D,02/04/23,020000,8997.09503
CA,D,03/04/23,020000,8917
CA,D,04/04/23,020000,8740.25
CA,D,05/04/23,020000,8784.75
CA,D,06/04/23,020000,8806.75
CA,D,09/04/23,020000,8865.919545
CA,D,10/04/23,020000,8743.56258
CA,D,11/04/23,020000,8851.5
CA,D,12/04/23,020000,8916.8
CA,D,13/04/23,020000,9065.75
CA,D,14/04/23,020000,9030.25
CA,D,16/04/23,020000,9057.722355
CA,D,17/04/23,020000,8962.95
CA,D,18/04/23,020000,9004.4
CA,D,19/04/23,020000,8947.75
CA,D,20/04/23,020000,8865.25
CA,D,21/04/23,020000,8778.5
CA,D,23/04/23,020000,8793.166755
CA,D,24/04/23,020000,8710
CA,D,25/04/23,020000,8506
CA,D,26/04/23,020000,8535.25
CA,D,27/04/23,020000,8569.5
CA,D,28/04/23,020000,8577
CA,D,02/05/23,020000,8490
CA,D,03/05/23,020000,8442.75
CA,D,04/05/23,020000,8474.4
CA,D,05/05/23,020000,8560.25
CA,D,09/05/23,020000,8562.25
CA,D,10/05/23,020000,8425
CA,D,11/05/23,020000,8150.5
CA,D,12/05/23,020000,8150
CA,D,15/05/23,020000,8185
CA,D,16/05/23,020000,8067
CA,D,17/05/23,020000,8125
CA,D,18/05/23,020000,8100
CA,D,19/05/23,020000,8000
CA,D,22/05/23,020000,8061.53
CA,D,23/05/23,020000,8035.74
CA,D,24/05/23,020000,7851.75
CA,D,25/05/23,020000,7914.75
CA,D,26/05/23,020000,8106
CA,D,30/05/23,020000,8103
CA,D,31/05/23,020000,8070
CA,D,01/06/23,020000,8240
CA,D,02/06/23,020000,8233.5
CA,D,05/06/23,020000,8331.01
CA,D,06/06/23,020000,8334
CA,D,07/06/23,020000,8292.1
CA,D,08/06/23,020000,8336
CA,D,09/06/23,020000,8349
CA,D,12/06/23,020000,8282
CA,D,13/06/23,020000,8450
CA,D,14/06/23,020000,8509.25
CA,D,15/06/23,020000,8555.99
CA,D,16/06/23,020000,8555
CA,D,19/06/23,020000,8546
CA,D,20/06/23,020000,8552.25
CA,D,21/06/23,020000,8606.25
CA,D,22/06/23,020000,8579.25
CA,D,23/06/23,020000,8409.24
CA,D,26/06/23,020000,8422
CA,D,27/06/23,020000,8382
CA,D,28/06/23,020000,8259.5
CA,D,29/06/23,020000,8177
CA,D,30/06/23,020000,8322.05
CA,D,03/07/23,020000,8397
CA,D,04/07/23,020000,8346
CA,D,05/07/23,020000,8304
CA,D,06/07/23,020000,8246
CA,D,07/07/23,020000,8360.5
